Sample_name,Lithology,Type,Pressure,Temperature,Vp,Vs,rho,Reference
BC-12,granodiorite,I,40,25,5.235,3.102,2.678,Morosov_et_al_2003
BC-12,granodiorite,I,100,25,5.962,3.458,2.678,Morosov_et_al_2003
BC-12,granodiorite,I,400,25,6.331,3.627,2.678,Morosov_et_al_2003
BC-12,granodiorite,I,1000,25,6.505,3.68,2.678,Morosov_et_al_2003
,,,,,,,,
BC-6,diorite,I,40,25,4.258,2.633,2.785,Morosov_et_al_2003
BC-6,diorite,I,100,25,5.493,3.254,2.785,Morosov_et_al_2003
BC-6,diorite,I,400,25,6.421,3.695,2.785,Morosov_et_al_2003
BC-6,diorite,I,1000,25,6.655,3.79,2.785,Morosov_et_al_2003
,,,,,,,,
BC-13,diorite,I,40,25,4.759,2.859,2.792,Morosov_et_al_2003
BC-13,diorite,I,100,25,5.775,3.365,2.792,Morosov_et_al_2003
BC-13,diorite,I,400,25,6.52,3.655,2.792,Morosov_et_al_2003
BC-13,diorite,I,1000,25,6.734,3.735,2.792,Morosov_et_al_2003
,,,,,,,,
BC-7,diorite,I,40,25,4.691,2.907,2.804,Morosov_et_al_2003
BC-7,diorite,I,100,25,5.822,3.393,2.804,Morosov_et_al_2003
BC-7,diorite,I,400,25,6.56,3.665,2.804,Morosov_et_al_2003
BC-7,diorite,I,1000,25,6.73,3.717,2.804,Morosov_et_al_2003
,,,,,,,,
BC-5,gneiss,M,40,25,4.545,2.7,2.787,Morosov_et_al_2003
BC-5,gneiss,M,100,25,5.54,3.157,2.787,Morosov_et_al_2003
BC-5,gneiss,M,400,25,6.231,3.469,2.787,Morosov_et_al_2003
BC-5,gneiss,M,1000,25,6.461,3.568,2.787,Morosov_et_al_2003
,,,,,,,,
BC-4,gneiss,M,40,25,4.734,2.864,2.797,Morosov_et_al_2003
BC-4,gneiss,M,100,25,5.517,3.214,2.797,Morosov_et_al_2003
BC-4,gneiss,M,400,25,6.204,3.499,2.797,Morosov_et_al_2003
BC-4,gneiss,M,1000,25,6.473,3.605,2.797,Morosov_et_al_2003
,,,,,,,,
BC-10,gneiss,M,40,25,4.589,2.722,2.789,Morosov_et_al_2003
BC-10,gneiss,M,100,25,5.517,3.222,2.789,Morosov_et_al_2003
BC-10,gneiss,M,400,25,6.204,3.639,2.789,Morosov_et_al_2003
BC-10,gneiss,M,1000,25,6.473,3.745,2.789,Morosov_et_al_2003
,,,,,,,,
BC-3,restite,I,40,25,5.609,3.354,2.74,Morosov_et_al_2003
BC-3,restite,I,100,25,5.894,3.265,2.74,Morosov_et_al_2003
BC-3,restite,I,400,25,6.242,3.653,2.74,Morosov_et_al_2003
BC-3,restite,I,1000,25,6.409,3.713,2.74,Morosov_et_al_2003
,,,,,,,,
BC-14,restite,I,40,25,5.464,3.211,2.984,Morosov_et_al_2003
BC-14,restite,I,100,25,6.327,3.642,2.984,Morosov_et_al_2003
BC-14,restite,I,400,25,6.98,3.929,2.984,Morosov_et_al_2003
BC-14,restite,I,1000,25,7.23,4.027,2.984,Morosov_et_al_2003
,,,,,,,,
TPR-30-cc,restite,I,40,25,6.161,3.569,2.898,Morosov_et_al_2003
TPR-30-cc,restite,I,100,25,6.692,3.821,2.898,Morosov_et_al_2003
TPR-30-cc,restite,I,400,25,7.049,3.991,2.898,Morosov_et_al_2003
TPR-30-cc,restite,I,1000,25,7.222,4.039,2.898,Morosov_et_al_2003
,,,,,,,,
A-1,schist,M,20,25,4.924,2.868,2.723,Christensen_Okaya_2007
A-1,schist,M,40,25,5.287,3.055,2.723,Christensen_Okaya_2007
A-1,schist,M,60,25,5.417,3.175,2.723,Christensen_Okaya_2007
A-1,schist,M,80,25,5.672,3.301,2.723,Christensen_Okaya_2007
A-1,schist,M,100,25,5.781,3.312,2.723,Christensen_Okaya_2007
A-1,schist,M,200,25,6.026,3.434,2.723,Christensen_Okaya_2007
A-1,schist,M,400,25,6.174,3.499,2.723,Christensen_Okaya_2007
A-1,schist,M,600,25,6.251,3.531,2.723,Christensen_Okaya_2007
A-1,schist,M,800,25,6.306,3.554,2.723,Christensen_Okaya_2007
A-1,schist,M,1000,25,6.349,3.572,2.723,Christensen_Okaya_2007
,,,,,,,,
A-2,schist,M,20,25,4.449,2.79,2.765,Christensen_Okaya_2007
A-2,schist,M,40,25,4.969,3.037,2.765,Christensen_Okaya_2007
A-2,schist,M,60,25,5.291,3.182,2.765,Christensen_Okaya_2007
A-2,schist,M,80,25,5.497,3.265,2.765,Christensen_Okaya_2007
A-2,schist,M,100,25,5.634,3.335,2.765,Christensen_Okaya_2007
A-2,schist,M,200,25,5.902,3.453,2.765,Christensen_Okaya_2007
A-2,schist,M,400,25,6.037,3.512,2.765,Christensen_Okaya_2007
A-2,schist,M,600,25,6.107,3.543,2.765,Christensen_Okaya_2007
A-2,schist,M,800,25,6.268,3.565,2.765,Christensen_Okaya_2007
A-2,schist,M,1000,25,6.197,3.583,2.765,Christensen_Okaya_2007
,,,,,,,,
A-3,schist,M,20,25,5.017,2.91,2.735,Christensen_Okaya_2007
A-3,schist,M,40,25,5.315,3.086,2.735,Christensen_Okaya_2007
A-3,schist,M,60,25,5.507,3.2,2.735,Christensen_Okaya_2007
A-3,schist,M,80,25,5.64,3.277,2.735,Christensen_Okaya_2007
A-3,schist,M,100,25,5.736,3.332,2.735,Christensen_Okaya_2007
A-3,schist,M,200,25,5.967,3.451,2.735,Christensen_Okaya_2007
A-3,schist,M,400,25,6.122,3.512,2.735,Christensen_Okaya_2007
A-3,schist,M,600,25,6.205,3.539,2.735,Christensen_Okaya_2007
A-3,schist,M,800,25,6.274,3.559,2.735,Christensen_Okaya_2007
A-3,schist,M,1000,25,6.312,3.574,2.735,Christensen_Okaya_2007
,,,,,,,,
A-4,schist,M,20,25,4.054,2.486,2.668,Christensen_Okaya_2007
A-4,schist,M,40,25,4.667,2.856,2.668,Christensen_Okaya_2007
A-4,schist,M,60,25,5.095,3.1,2.668,Christensen_Okaya_2007
A-4,schist,M,80,25,5.382,3.265,2.668,Christensen_Okaya_2007
A-4,schist,M,100,25,5.583,3.377,2.668,Christensen_Okaya_2007
A-4,schist,M,200,25,6,3.59,2.668,Christensen_Okaya_2007
A-4,schist,M,400,25,6.186,3.654,2.668,Christensen_Okaya_2007
A-4,schist,M,600,25,6.237,3.677,2.668,Christensen_Okaya_2007
A-4,schist,M,800,25,6.286,3.693,2.668,Christensen_Okaya_2007
A-4,schist,M,1000,25,6.325,3.706,2.668,Christensen_Okaya_2007
,,,,,,,,
A-5,schist,M,20,25,5.05,2.569,2.656,Christensen_Okaya_2007
A-5,schist,M,40,25,5.337,2.726,2.656,Christensen_Okaya_2007
A-5,schist,M,60,25,5.51,2.837,2.656,Christensen_Okaya_2007
A-5,schist,M,80,25,5.624,2.923,2.656,Christensen_Okaya_2007
A-5,schist,M,100,25,5.702,2.99,2.656,Christensen_Okaya_2007
A-5,schist,M,200,25,5.764,3.254,2.656,Christensen_Okaya_2007
A-5,schist,M,400,25,6.018,3.284,2.656,Christensen_Okaya_2007
A-5,schist,M,600,25,6.092,3.326,2.656,Christensen_Okaya_2007
A-5,schist,M,800,25,6.145,3.354,2.656,Christensen_Okaya_2007
A-5,schist,M,1000,25,6.188,3.375,2.656,Christensen_Okaya_2007
,,,,,,,,
A-6,phyllite,M,20,25,5.473,3.487,2.713,Christensen_Okaya_2007
A-6,phyllite,M,40,25,5.611,3.547,2.713,Christensen_Okaya_2007
A-6,phyllite,M,60,25,5.691,3.587,2.713,Christensen_Okaya_2007
A-6,phyllite,M,80,25,5.744,3.616,2.713,Christensen_Okaya_2007
A-6,phyllite,M,100,25,5.782,3.637,2.713,Christensen_Okaya_2007
A-6,phyllite,M,200,25,5.884,3.689,2.713,Christensen_Okaya_2007
A-6,phyllite,M,400,25,5.975,3.721,2.713,Christensen_Okaya_2007
A-6,phyllite,M,600,25,6.028,3.737,2.713,Christensen_Okaya_2007
A-6,phyllite,M,800,25,6.066,3.747,2.713,Christensen_Okaya_2007
A-6,phyllite,M,1000,25,6.096,3.755,2.713,Christensen_Okaya_2007
,,,,,,,,
A-7,phyllite,M,20,25,4.931,3.094,2.713,Christensen_Okaya_2007
A-7,phyllite,M,40,25,5.209,3.197,2.713,Christensen_Okaya_2007
A-7,phyllite,M,60,25,5.382,3.267,2.713,Christensen_Okaya_2007
A-7,phyllite,M,80,25,5.499,3.318,2.713,Christensen_Okaya_2007
A-7,phyllite,M,100,25,5.581,3.358,2.713,Christensen_Okaya_2007
A-7,phyllite,M,200,25,5.777,3.467,2.713,Christensen_Okaya_2007
A-7,phyllite,M,400,25,5.915,3.545,2.713,Christensen_Okaya_2007
A-7,phyllite,M,600,25,5.991,3.582,2.713,Christensen_Okaya_2007
A-7,phyllite,M,800,25,6.046,3.608,2.713,Christensen_Okaya_2007
A-7,phyllite,M,1000,25,6.088,3.629,2.713,Christensen_Okaya_2007
,,,,,,,,
A-8,phyllite,M,20,25,5.075,2.261,2.642,Christensen_Okaya_2007
A-8,phyllite,M,40,25,5.248,2.391,2.642,Christensen_Okaya_2007
A-8,phyllite,M,60,25,5.373,2.479,2.642,Christensen_Okaya_2007
A-8,phyllite,M,80,25,6.47,2.548,2.642,Christensen_Okaya_2007
A-8,phyllite,M,100,25,5.547,2.604,2.642,Christensen_Okaya_2007
A-8,phyllite,M,200,25,5.777,2.789,2.642,Christensen_Okaya_2007
A-8,phyllite,M,400,25,5.941,2.964,2.642,Christensen_Okaya_2007
A-8,phyllite,M,600,25,6.003,3.05,2.642,Christensen_Okaya_2007
A-8,phyllite,M,800,25,6.038,3.106,2.642,Christensen_Okaya_2007
A-8,phyllite,M,1000,25,6.064,3.148,2.642,Christensen_Okaya_2007
,,,,,,,,
A-9,phyllite,M,20,25,4.78,3.093,2.644,Christensen_Okaya_2007
A-9,phyllite,M,40,25,5.12,3.235,2.644,Christensen_Okaya_2007
A-9,phyllite,M,60,25,5.333,3.325,2.644,Christensen_Okaya_2007
A-9,phyllite,M,80,25,5.472,3.385,2.644,Christensen_Okaya_2007
A-9,phyllite,M,100,25,5.567,3.428,2.644,Christensen_Okaya_2007
A-9,phyllite,M,200,25,5.768,3.52,2.644,Christensen_Okaya_2007
A-9,phyllite,M,400,25,5.865,3.57,2.644,Christensen_Okaya_2007
A-9,phyllite,M,600,25,5.941,3.596,2.644,Christensen_Okaya_2007
A-9,phyllite,M,800,25,5.984,3.613,2.644,Christensen_Okaya_2007
A-9,phyllite,M,1000,25,6.017,3.627,2.644,Christensen_Okaya_2007
,,,,,,,,
A-10,schist,M,20,25,4.301,2.577,2.7,Christensen_Okaya_2007
A-10,schist,M,40,25,4.766,2.83,2.7,Christensen_Okaya_2007
A-10,schist,M,60,25,5.076,3.001,2.7,Christensen_Okaya_2007
A-10,schist,M,80,25,5.295,3.12,2.7,Christensen_Okaya_2007
A-10,schist,M,100,25,5.453,3.206,2.7,Christensen_Okaya_2007
A-10,schist,M,200,25,5.822,3.399,2.7,Christensen_Okaya_2007
A-10,schist,M,400,25,6.027,3.493,2.7,Christensen_Okaya_2007
A-10,schist,M,600,25,6.123,3.535,2.7,Christensen_Okaya_2007
A-10,schist,M,800,25,6.192,3.565,2.7,Christensen_Okaya_2007
A-10,schist,M,1000,25,6.246,3.588,2.7,Christensen_Okaya_2007
,,,,,,,,
A-11,schist,M,20,25,4.019,2.488,2.694,Christensen_Okaya_2007
A-11,schist,M,40,25,4.646,2.802,2.694,Christensen_Okaya_2007
A-11,schist,M,60,25,5.069,3.003,2.694,Christensen_Okaya_2007
A-11,schist,M,80,25,5.354,3.137,2.694,Christensen_Okaya_2007
A-11,schist,M,100,25,5.556,3.228,2.694,Christensen_Okaya_2007
A-11,schist,M,200,25,5.981,3.406,2.694,Christensen_Okaya_2007
A-11,schist,M,400,25,5.165,3.483,2.694,Christensen_Okaya_2007
A-11,schist,M,600,25,6.248,3.521,2.694,Christensen_Okaya_2007
A-11,schist,M,800,25,6.307,3.547,2.694,Christensen_Okaya_2007
A-11,schist,M,1000,25,6.354,3.568,2.694,Christensen_Okaya_2007
,,,,,,,,
A-12,schist,M,20,25,4.012,2.303,2.713,Christensen_Okaya_2007
A-12,schist,M,40,25,4.619,2.638,2.713,Christensen_Okaya_2007
A-12,schist,M,60,25,5.026,2.859,2.713,Christensen_Okaya_2007
A-12,schist,M,80,25,5.309,3.01,2.713,Christensen_Okaya_2007
A-12,schist,M,100,25,5.509,3.115,2.713,Christensen_Okaya_2007
A-12,schist,M,200,25,5.942,3.335,2.713,Christensen_Okaya_2007
A-12,schist,M,400,25,6.14,3.429,2.713,Christensen_Okaya_2007
A-12,schist,M,600,25,6.228,3.468,2.713,Christensen_Okaya_2007
A-12,schist,M,800,25,6.292,3.496,2.713,Christensen_Okaya_2007
A-12,schist,M,1000,25,6.342,3.517,2.713,Christensen_Okaya_2007
,,,,,,,,
A-13,schist,M,20,25,4.404,2.414,2.712,Christensen_Okaya_2007
A-13,schist,M,40,25,5.3,2.801,2.712,Christensen_Okaya_2007
A-13,schist,M,60,25,5.461,3.043,2.712,Christensen_Okaya_2007
A-13,schist,M,80,25,5.737,3.198,2.712,Christensen_Okaya_2007
A-13,schist,M,100,25,5.924,3.299,2.712,Christensen_Okaya_2007
A-13,schist,M,200,25,6.289,3.482,2.712,Christensen_Okaya_2007
A-13,schist,M,400,25,6.431,3.554,2.712,Christensen_Okaya_2007
A-13,schist,M,600,25,6.492,3.589,2.712,Christensen_Okaya_2007
A-13,schist,M,800,25,6.536,3.614,2.712,Christensen_Okaya_2007
A-13,schist,M,1000,25,6.57,3.633,2.712,Christensen_Okaya_2007
,,,,,,,,
A-14,greenschist,M,20,25,3.499,2.223,2.681,Christensen_Okaya_2007
A-14,greenschist,M,40,25,4.25,2.693,2.681,Christensen_Okaya_2007
A-14,greenschist,M,60,25,4.763,2.994,2.681,Christensen_Okaya_2007
A-14,greenschist,M,80,25,5.123,3.192,2.681,Christensen_Okaya_2007
A-14,greenschist,M,100,25,5.379,3.323,2.681,Christensen_Okaya_2007
A-14,greenschist,M,200,25,5.923,3.564,2.681,Christensen_Okaya_2007
A-14,greenschist,M,400,25,6.141,3.646,2.681,Christensen_Okaya_2007
A-14,greenschist,M,600,25,6.227,3.682,2.681,Christensen_Okaya_2007
A-14,greenschist,M,800,25,6.288,3.708,2.681,Christensen_Okaya_2007
A-14,greenschist,M,1000,25,6.347,3.728,2.681,Christensen_Okaya_2007
,,,,,,,,
A-15,greenschist,M,20,25,4.059,2.349,2.656,Christensen_Okaya_2007
A-15,greenschist,M,40,25,4.545,2.663,2.656,Christensen_Okaya_2007
A-15,greenschist,M,60,25,4.891,2.88,2.656,Christensen_Okaya_2007
A-15,greenschist,M,80,25,5.15,3.036,2.656,Christensen_Okaya_2007
A-15,greenschist,M,100,25,5.35,3.151,2.656,Christensen_Okaya_2007
A-15,greenschist,M,200,25,5.874,3.422,2.656,Christensen_Okaya_2007
A-15,greenschist,M,400,25,6.18,3.56,2.656,Christensen_Okaya_2007
A-15,greenschist,M,600,25,6.306,3.619,2.656,Christensen_Okaya_2007
A-15,greenschist,M,800,25,6.393,3.657,2.656,Christensen_Okaya_2007
A-15,greenschist,M,1000,25,6.461,3.693,2.656,Christensen_Okaya_2007
,,,,,,,,
A-16,greenschist,M,20,25,4.727,2.694,2.656,Christensen_Okaya_2007
A-16,greenschist,M,40,25,5.106,2.893,2.656,Christensen_Okaya_2007
A-16,greenschist,M,60,25,5.367,3.028,2.656,Christensen_Okaya_2007
A-16,greenschist,M,80,25,5.557,3.12,2.656,Christensen_Okaya_2007
A-16,greenschist,M,100,25,5.7,3.193,2.656,Christensen_Okaya_2007
A-16,greenschist,M,200,25,6.062,3.353,2.656,Christensen_Okaya_2007
A-16,greenschist,M,400,25,6.283,3.434,2.656,Christensen_Okaya_2007
A-16,greenschist,M,600,25,6.386,3.471,2.656,Christensen_Okaya_2007
A-16,greenschist,M,800,25,6.46,3.498,2.656,Christensen_Okaya_2007
A-16,greenschist,M,1000,25,6.519,3.517,2.656,Christensen_Okaya_2007
,,,,,,,,
A-17,greenschist,M,20,25,4.609,2.863,3.002,Christensen_Okaya_2007
A-17,greenschist,M,40,25,5.263,2.743,3.002,Christensen_Okaya_2007
A-17,greenschist,M,60,25,5.571,3.214,3.002,Christensen_Okaya_2007
A-17,greenschist,M,80,25,5.774,3.296,3.002,Christensen_Okaya_2007
A-17,greenschist,M,100,25,5.912,3.369,3.002,Christensen_Okaya_2007
A-17,greenschist,M,200,25,6.2,3.498,3.002,Christensen_Okaya_2007
A-17,greenschist,M,400,25,6.349,3.558,3.002,Christensen_Okaya_2007
A-17,greenschist,M,600,25,6.422,3.587,3.002,Christensen_Okaya_2007
A-17,greenschist,M,800,25,6.474,3.608,3.002,Christensen_Okaya_2007
A-17,greenschist,M,1000,25,6.515,3.624,3.002,Christensen_Okaya_2007
,,,,,,,,
A-18,greenschist,M,20,25,4.758,2.869,2.726,Christensen_Okaya_2007
A-18,greenschist,M,40,25,5.059,2.85,2.726,Christensen_Okaya_2007
A-18,greenschist,M,60,25,5.17,2.965,2.726,Christensen_Okaya_2007
A-18,greenschist,M,80,25,5.433,3.053,2.726,Christensen_Okaya_2007
A-18,greenschist,M,100,25,5.563,3.124,2.726,Christensen_Okaya_2007
A-18,greenschist,M,200,25,5.952,3.326,2.726,Christensen_Okaya_2007
A-18,greenschist,M,400,25,6.237,3.464,2.726,Christensen_Okaya_2007
A-18,greenschist,M,600,25,6.36,3.522,2.726,Christensen_Okaya_2007
A-18,greenschist,M,800,25,6.442,3.559,2.726,Christensen_Okaya_2007
A-18,greenschist,M,1000,25,6.505,3.589,2.726,Christensen_Okaya_2007
,,,,,,,,
A-19,greenschist,M,20,25,5.001,3.198,2.735,Christensen_Okaya_2007
A-19,greenschist,M,40,25,5.341,3.323,2.735,Christensen_Okaya_2007
A-19,greenschist,M,60,25,5.565,3.404,2.735,Christensen_Okaya_2007
A-19,greenschist,M,80,25,5.722,3.485,2.735,Christensen_Okaya_2007
A-19,greenschist,M,100,25,5.837,3.496,2.735,Christensen_Okaya_2007
A-19,greenschist,M,200,25,6.112,3.581,2.735,Christensen_Okaya_2007
A-19,greenschist,M,400,25,6.283,3.627,2.735,Christensen_Okaya_2007
A-19,greenschist,M,600,25,6.37,3.648,2.735,Christensen_Okaya_2007
A-19,greenschist,M,800,25,6.433,3.664,2.735,Christensen_Okaya_2007
A-19,greenschist,M,1000,25,6.482,3.675,2.735,Christensen_Okaya_2007
,,,,,,,,
A-20,greenschist,M,20,25,5.457,3.462,2.708,Christensen_Okaya_2007
A-20,greenschist,M,40,25,5.712,3.517,2.708,Christensen_Okaya_2007
A-20,greenschist,M,60,25,5.852,3.549,2.708,Christensen_Okaya_2007
A-20,greenschist,M,80,25,5.938,3.572,2.708,Christensen_Okaya_2007
A-20,greenschist,M,100,25,5.994,3.588,2.708,Christensen_Okaya_2007
A-20,greenschist,M,200,25,6.119,3.632,2.708,Christensen_Okaya_2007
A-20,greenschist,M,400,25,6.216,3.666,2.708,Christensen_Okaya_2007
A-20,greenschist,M,600,25,6.272,3.685,2.708,Christensen_Okaya_2007
A-20,greenschist,M,800,25,6.313,3.697,2.708,Christensen_Okaya_2007
A-20,greenschist,M,1000,25,6.344,3.708,2.708,Christensen_Okaya_2007
,,,,,,,,
A-21,greywacke,S,20,25,5.874,3.544,2.737,Christensen_Okaya_2007
A-21,greywacke,S,40,25,5.981,3.576,2.737,Christensen_Okaya_2007
A-21,greywacke,S,60,25,6.041,3.597,2.737,Christensen_Okaya_2007
A-21,greywacke,S,80,25,6.081,3.612,2.737,Christensen_Okaya_2007
A-21,greywacke,S,100,25,6.109,3.623,2.737,Christensen_Okaya_2007
A-21,greywacke,S,200,25,6.185,3.655,2.737,Christensen_Okaya_2007
A-21,greywacke,S,400,25,6.256,3.68,2.737,Christensen_Okaya_2007
A-21,greywacke,S,600,25,6.297,3.694,2.737,Christensen_Okaya_2007
A-21,greywacke,S,800,25,6.327,3.703,2.737,Christensen_Okaya_2007
A-21,greywacke,S,1000,25,6.35,3.711,2.737,Christensen_Okaya_2007
,,,,,,,,
A-22,greywacke,S,20,25,5.91,3.524,2.69,Christensen_Okaya_2007
A-22,greywacke,S,40,25,5.965,3.549,2.69,Christensen_Okaya_2007
A-22,greywacke,S,60,25,5.996,3.564,2.69,Christensen_Okaya_2007
A-22,greywacke,S,80,25,6.018,3.574,2.69,Christensen_Okaya_2007
A-22,greywacke,S,100,25,6.035,3.581,2.69,Christensen_Okaya_2007
A-22,greywacke,S,200,25,6.09,3.604,2.69,Christensen_Okaya_2007
A-22,greywacke,S,400,25,6.152,3.627,2.69,Christensen_Okaya_2007
A-22,greywacke,S,600,25,6.19,3.64,2.69,Christensen_Okaya_2007
A-22,greywacke,S,800,25,6.218,3.65,2.69,Christensen_Okaya_2007
A-22,greywacke,S,1000,25,6.24,3.657,2.69,Christensen_Okaya_2007
,,,,,,,,
A-23,greywacke,S,20,25,5.506,3.067,2.688,Christensen_Okaya_2007
A-23,greywacke,S,40,25,5.571,3.45,2.688,Christensen_Okaya_2007
A-23,greywacke,S,60,25,5.816,3.483,2.688,Christensen_Okaya_2007
A-23,greywacke,S,80,25,5.885,3.507,2.688,Christensen_Okaya_2007
A-23,greywacke,S,100,25,5.931,3.525,2.688,Christensen_Okaya_2007
A-23,greywacke,S,200,25,6.038,3.571,2.688,Christensen_Okaya_2007
A-23,greywacke,S,400,25,6.123,3.6,2.688,Christensen_Okaya_2007
A-23,greywacke,S,600,25,6.172,3.611,2.688,Christensen_Okaya_2007
A-23,greywacke,S,800,25,6.208,3.622,2.688,Christensen_Okaya_2007
A-23,greywacke,S,1000,25,6.235,3.629,2.688,Christensen_Okaya_2007
,,,,,,,,
A-24,greywacke,S,20,25,5.184,3.216,2.654,Christensen_Okaya_2007
A-24,greywacke,S,40,25,5.465,3.337,2.654,Christensen_Okaya_2007
A-24,greywacke,S,60,25,5.648,3.417,2.654,Christensen_Okaya_2007
A-24,greywacke,S,80,25,5.775,3.473,2.654,Christensen_Okaya_2007
A-24,greywacke,S,100,25,5.864,3.513,2.654,Christensen_Okaya_2007
A-24,greywacke,S,200,25,6.064,3.598,2.654,Christensen_Okaya_2007
A-24,greywacke,S,400,25,6.17,3.636,2.654,Christensen_Okaya_2007
A-24,greywacke,S,600,25,6.221,3.653,2.654,Christensen_Okaya_2007
A-24,greywacke,S,800,25,6.256,3.664,2.654,Christensen_Okaya_2007
A-24,greywacke,S,1000,25,6.284,3.973,2.654,Christensen_Okaya_2007
,,,,,,,,
A-25,greywacke,S,20,25,5.518,3.395,2.706,Christensen_Okaya_2007
A-25,greywacke,S,40,25,5.714,3.443,2.706,Christensen_Okaya_2007
A-25,greywacke,S,60,25,5.826,3.474,2.706,Christensen_Okaya_2007
A-25,greywacke,S,80,25,5.896,3.495,2.706,Christensen_Okaya_2007
A-25,greywacke,S,100,25,5.944,3.509,2.706,Christensen_Okaya_2007
